classnumber,termnumber,termname,termstatus,termcategory,termsource,effectivedate,refst13applicationnumber
3,0,"perfumeries and cosmetics, namely skin care preparations, hair care preparations, body care preparations and make-up preparations",public,goods,CIPO_manual,-,300000171579300
3,0,"cosmetics, namely skin care and make-up products, namely, foundation, concealers, skin lotions and creams, skin toners, skin refreshers, skin masks, facial cleansing foam, skin cleansing lotion, facial scrubs, foundation, concealers",public,goods,CIPO_manual,-,300000171579300
18,0,cosmetic cases,public,goods,CIPO_manual,-,300000171579300
28,0,"golf gloves, golf bags, golf balls, golf ball markers, golf tees, golf club protectors, golf bag covers, golf bag labels",public,goods,CIPO_manual,-,300000171579400
20,0,"furniture namely classroom furniture, computer furniture, office furniture",public,goods,CIPO_manual,-,300000171581600
3,0,shampoos and hair conditioners,public,goods,CIPO_manual,-,300000171582600
3,0,"baby care products, namely, hair and body wash, body, bum and face butter, baby oil, baby powder, baby face serums, preparations for cleaning baby change mats",public,goods,CIPO_manual,-,300000171586900
3,0,"skin care products, namely, skin care preparations, skin care creams, nipple butter, face butter, body butter, body butter for stretch marks, face serum, face wash, body wash, body powder, after-sun butter, beauty serums",public,goods,CIPO_manual,-,300000171586900
3,0,"cleaning products, namely, bathroom cleaning preparations, kitchen cleaning preparations, glass cleaner",public,goods,CIPO_manual,-,300000171586900
1,0,"chemical slurries of organic waste, namely, food waste, for use in biological processing systems to produce biogas",public,goods,CIPO_manual,-,300000171587600
1,0,"chemical slurries of organic waste, namely, food waste, waste from food manufacturing plants, waste from beverage manufacturing plants, waste from distilleries and breweries, waste from corn milling plants, and waste water, for use in biological processing systems to produce biogas, transportation fuels, and chemical products",public,goods,CIPO_manual,-,300000171587600
41,0,"education and entertainment services, namely, providing classes and instruction in the field of dance, physical fitness instruction",public,services,CIPO_manual,-,300000171588400
41,0,"leadership, inspirational and motivational speaking services in the fields of physical fitness, nutrition, exercise and personal development",public,services,CIPO_manual,-,300000171588400
41,0,"providing online electronic publications in the fields of physical fitness, nutrition, exercise and personal development",public,services,CIPO_manual,-,300000171588400
8,0,"hand-operated implements, namely snow shovels, snow pushers, ice scrapers",public,goods,CIPO_manual,-,300000171590200
8,0,hand-held tools,public,goods,CIPO_manual,-,300000171590200
8,0,"hand-held implements, namely shovels, spades, scrapers, hoes, rakes, brushes",public,goods,CIPO_manual,-,300000171590200
8,0,shovels (hand tools),public,goods,CIPO_manual,-,300000171590200
8,0,shovels (hand-operated),public,goods,CIPO_manual,-,300000171590200
8,0,"hand-operated snow moving apparatus, namely snow shovels, snow pushers, snow scrapers",public,goods,CIPO_manual,-,300000171590200
8,0,"hand-held snow moving apparatus, namely snow shovels, snow pushers, snow scrapers",public,goods,CIPO_manual,-,300000171590200
